210021772	DUGROS  LEATHER  ( INDIA  ) PRIVATE LIMITED.
210029820	TEXMACO UGL RAIL PRIVATE LIMITED.
210029871	PRICEWATERHOUSECOOPERS SER.DEL. CENTER(KOL))PVT.LT
210031140	SREEPRIYA EXPORTS PRIVATE LIMITED
210032901	SHABBAR TRADING HOUSE PRIVATE LIMITED
210034017	SUNRISE EXPORTS
211000299	INDEX SAFETY PRODUCTS PRIVATE LIMITED
211004111	LEXUS EXPORTS PRIVATE LIMITED
211004146	UTSAV FASHION PRIVATE LIMITED
211006394	SIDDARTH  KAPOOR
211006611	KESHAR INTERNATIONAL PRIVATE LIMITED
211008966	NEW TEA EXPORTS PRIVATE LIMITED
211009911	DILIP KUMAR SINGH
211014788	AVANTAGE TRADING COMPANY PRIVATE LIMITED
211017817	LYKIS LIMITED
211021199	CROWN INTERNATIONAL
211022918	ANIL SAHA
211023027	LINUS AGROVENTURES PRIVATE LIMITED
211028398	MANOJ ROY
211028789	SARASWATI EXIM PRIVATE LIMITED
212009630	GANTS MANUFACTURING & TRADING COMPANY PRIVATE LTD.
212017012	STARLIGHT ISPAT PRIVATE LIMITED
212020048	RPV EXPORTS PRIVATE LIMITED
212022121	RUMA DE
212025015	SAR CLOTHING (INDIA) PRIVATE LIMITED
212032399	AVIMA EXPORTS PRIVATE LIMITED
288000021	GAYSON & CO.(P) LTD.,
288000102	JAMSHED  ALAM
288000226	MERINO INDUSTRIES LIMITED
288000447	SANJIB BOTHRA
288000480	IFB AGRO INDUSTRIES LTD.,
288000510	TULSYAN IMPEX PRIVATE LIMITED
288000722	CRI  LIMITED
288000749	ENGSER LIMITED
288000803	TALWAR BROTHERS P. LTD.
288000897	EVEREADY INDUSTRIES INDIA LTD.
288000994	KANORIA CHEMICALS & INDUSTRIES  LTD
288001010	DOLPHIN LABORATORIES LIMITED.
288001028	CRESCENT FOUNDRY COMPANY PRIVATE LIMITED
288001079	ITC  LIMITED
288001109	NEW HORIZONS LTD.
288001168	CHEVIOT COMPANY LIMITED
288001214	TAJ LEATHER WORKS
288001231	ASSAM COMPANY  INDIA LTD
288001249	TEXMACO RAIL & ENGINEERING LIMITED
288001265	ORGANON  (INDIA) PRIVATE  LIMITED
288001389	J.J. EXPORTERS LTD.,
288001443	WIRES AND FABRIKS (S A) LIMITED
288001559	KISWOK INDUSTRIES PVT. LTD.,
288001567	THE NAIHATI JUTE MILLS CO LTD
288001656	TATA GLOBAL BEVERAGES LIMITED
288001761	CALCUTTA LAMINATING INDUSTRIES
288002423	G. D. ENTERPRISE
288002679	EQUITABLE MARKETING ASSOCIATION
288002709	C. PATEL & COMPANY
288002822	AKZO NOBEL INDIA LIMITED
288003047	MURLIDHAR RATANLAL EXPORTS LTD.
288003268	LUMENS INDIA
288003489	COMMEX CORPORATION
288003501	COVENTRY SPRING & ENGINEERINNG CO. LTD.,
288003519	EXIDE INDUSTRIES LTD
288003667	CARNATION INDUSTRIES  LTD.
288003683	BENGAL IRON CORPORATION
288003705	KRISHNA TRADERS
288003926	BIRLA  CORPORATION LTD.,
288003969	SREEPRIYA  EXPORTS
288003993	SERAMPORE INDUSTRIES PVT LTD
288004108	SUNITA IMPEX PVT LTD
288004809	CRESCENT EXPORT SYNDICATE
288004825	G A RANDERIAN PRIVATE LIMITED
288004850	ZENITH EXPORTS LIMITED
288005040	SUDHA DEVI SARAF
288005350	M K SHAH EXPORTS LTD
288005368	BAY SEAFOOD PVT. LTD.
288005384	GOVIND STEEL COMPANY LTD
288005449	MINEX AGENCIES
288005791	MARSON`S ELECTRICAL INDUSTRIES
288005881	RAMESH KUMAR & CO PVT LTD
288006003	ALKALOIDS CORPORATION
288006577	R B AGARWALLA & COMPANY
288007255	EASTERN  SILK INDUSTRIES LIMITED
288007638	A DAMIANO & CO
288007816	BHANSALI & COMPANY
288008901	STAR WIRE INDIA LIMITED
288009151	BHARAT ENGINEERING WORKS
288009436	UNITED ENGINEERING (EASTERN)CORPN.,
288009444	LA OPALA RG LTD.
288009657	TALWAR ENTERPRISES,
288009843	GLOSTER LIMITED,
288010027	RITIKA PRIVATE  LIMITED
288010159	JINDAL (INDIA) LIMITED
288010311	KALPENA  INDUSTRIES LIMITED,
288010396	ADITYA BIRLA NUVO LIMITED.,
288010396	INDIAN RAYON & INDUSTRIES LTD.
288010647	DHANOOLALL & SONS
288010957	MANAKSIA  LTD.( FORMERLY  HINDUSTHAN SEALS LTD.)
288011023	HITAISHI KK MANUFACTURING COMPANY PRIVATE LIMITED,
288011091	GONTERMANN PEIPERS (INDIA) LTD.,
288011155	GOODRICKE GROUP LTD.,
288011830	ASSOCIATED PIGMENTS LIMITED
288012038	ARSHI EXPORTS
288012178	BALMER LAWRIE & CO LTD
288012291	BALAJI AGRO INTERNATIONAL
288012755	ROYAL INDIAN CARPETS MFG CO PVT LTD
288013034	KRISHI RASAYAN
288013280	PROMISING EXPORTS LTD.
288013603	VT EXPORTS PVT LTD
288013638	VIKRAM INDIA LIMITED
288013671	V P UDYOG LTD
288013930	JAIDEV KUMAR
288014359	SINGHVI INTERNATIONAL
288014715	PAHARPUR COOLING TOWERS LIMITED,
288014952	KARSONS (INDIA)
288015428	UNIVERSAL OVERSEAS  LIMITED
288015444	SURAJIT SEN
288015606	HINDUSTHAN UDYOG LTD.
288015631	OVERSEAS LEATHER GOODS CO. PVT. LTD.
288015959	MANGAL STEEL ENTERPRISES LTD.,
288016157	LAKSHMANA MAHARAJA PILLAI
288016211	VEEJAY INTERNATIONAL INDIA
288016769	NADEEM SARWAR
288017048	L G W  LIMITED
288017048	L G W  LIMITED
288017889	BIRLA TYRES.
288017889	KESORAM INDUSTRIES LTD.
288018061	LEXPORTEX INDIA PVT LTD
288018338	AGARWAL INDUSTRIES (PROP. AGARWAL BOLTS. LTD.)
288018702	D. MANOHARLAL (SHELLAC)  PVT. LTD.
288019857	GUPTA  MACHINE TOOLS  LTD.
288019911	MAGNUM ENTERPRISES
288020499	ACHINTYA KUMAR DEY
288020537	THE TINPLATE CO OF INDIA LTD
288020588	QUALITY BAG EXPORTERS PVT.LTD.
288021746	SIMPLEX INFRASTRUCTURES LIMITED
288022173	HARBANS LAL MALHOTRA & SONS PVT. LTD.
288022220	H. A. G CARPETS  PVT. LTD.
288022246	MALLCOM (INDIA) LTD.
288022319	ELECTROSTEEL CASTINGS LIMITED
288022351	KHIMJEE HUNSRAJ
288022670	ASHOKA INTERNATIONAL,
288022785	BENGAL TEA & FABRICS LTD
288022912	RECKITT BENCKISER ( INDIA)  LTD
288023102	DHUNSERI PETROCHEM  LIMITED,
288024605	AMBOOTIA TEA EXPORTS PVT. LTD.
288025113	EMAMI LIMITED,
288025423	TEGA INDUSTRIES LTD.
288026021	MAGNUM CLOTHING PVT LTD
288026527	THE TELOIJAN TEA CO LTD.,
288026845	MORTEX  INDIA
